Week,Deleted,Sent,Total,Description
1,919,421,1340,Normal
2,953,512,1465,Normal
3,892,421,1313,Travel
4,961,515,1476,Normal
5,989,593,1582,Normal
6,943,475,1418,Normal
7,781,336,1117,Normal
8,851,478,1329,Normal
9,802,255,1057,Travel
10,900,440,1340,Normal
11,948,484,1432,Normal
12,958,482,1440,Normal
13,866,371,1237,Travel
14,1021,455,1476,Normal
15,1066,564,1630,Normal
16,836,264,1100,Travel
17,909,387,1296,Normal
18,889,411,1300,Normal
19,884,407,1291,Normal
20,811,237,1048,Travel
21,757,346,1103,Normal
22,956,461,1417,Normal
23,934,472,1406,Normal
24,858,388,1246,Travel
25,824,387,1211,Normal
26,642,260,902,Normal
27,853,437,1290,Normal
28,867,411,1278,Normal
29,797,348,1145,Normal
30,592,73,665,Vacation
31,591,127,718,Vacation
32,698,225,923,Vacation
33,908,477,1385,Normal
34,852,420,1272,Normal
35,948,534,1482,Normal
36,987,559,1546,Normal
37,926,446,1372,Travel
38,928,482,1410,Normal
39,923,473,1396,Normal
40,983,533,1516,Announcement
41,923,559,1482,Normal
42,811,335,1146,Normal
43,861,393,1254,Normal
44,819,438,1257,Normal
45,1010,570,1580,Normal
46,935,491,1426,Normal
47,645,269,914,Holiday
48,794,270,1064,Travel
49,792,354,1146,Normal
50,886,404,1290,Normal
51,377,73,450,Holiday
52,286,27,313,Holiday
