Week,Deleted,Sent,Total,Description
1,870,448,1318,Normal
2,861,359,1220,Normal
3,835,281,1116,Travel
4,1037,490,1527,Normal
5,954,421,1375,Normal
6,1053,481,1534,Normal
7,872,312,1184,Normal
8,1028,428,1456,Travel
9,987,515,1502,Normal
10,985,553,1538,Normal
11,952,580,1532,Normal
12,973,483,1456,Normal
13,855,374,1229,Normal
14,853,386,1239,Normal
15,812,332,1144,Normal
16,953,553,1506,Normal
17,934,468,1402,Normal
18,878,362,1240,Travel
19,1124,719,1843,Normal
20,1025,446,1471,Travel
21,818,396,1214,Normal
22,1000,495,1495,Normal
23,783,260,1043,Travel
24,1111,600,1711,Normal
25,1065,682,1747,Normal
26,610,96,706,Vacation
27,618,168,786,Vacation
28,716,165,881,Vacation
29,1045,545,1590,Normal
30,951,426,1377,Normal
31,900,525,1425,Travel
32,865,451,1316,Travel
33,926,522,1448,Normal
34,851,461,1312,Normal
35,905,526,1431,Normal
36,760,335,1095,Normal
37,884,434,1318,Normal
38,892,466,1358,Normal
39,728,327,1055,Travel
40,872,448,1320,Normal
41,868,496,1364,Normal
42,628,184,812,Travel
43,881,501,1382,Normal
44,701,226,927,Travel
45,805,471,1276,Normal
46,728,374,1102,Normal
47,574,196,770,Holiday
48,992,574,1566,Normal
49,901,522,1423,Normal
50,934,483,1417,Normal
51,386,74,460,Holiday
52,245,23,268,Holiday
